id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
105;mapping_categories;requests;1597307786.313983;-0.3180999755859375;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1660;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1660;103760;200;True;
106;mapping_categories;requests;1597307787.1349409;-0.31697893142700195;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1680;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1680;104746;200;True;
107;mapping_categories;requests;1597307787.95622;-0.3145451545715332;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1700;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1700;104212;200;True;
108;mapping_categories;requests;1597307788.777494;-0.3157949447631836;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1720;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1720;103511;200;True;
109;mapping_categories;requests;1597307789.597641;-0.3115959167480469;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1740;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1740;103386;200;True;
110;mapping_categories;requests;1597307790.414079;-0.41863298416137695;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1760;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1760;104078;200;True;
111;mapping_categories;requests;1597307791.336181;-0.259354829788208;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1780;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1780;108057;200;True;
112;mapping_categories;requests;1597307792.099243;-0.21616101264953613;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1800;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1800;106456;200;True;
113;mapping_categories;requests;1597307792.818675;-0.3674647808074951;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1820;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1820;105890;200;True;
114;mapping_categories;requests;1597307793.6892421;-0.31604576110839844;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1840;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1840;103070;200;True;
115;mapping_categories;requests;1597307794.509899;-0.31317901611328125;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1860;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1860;104527;200;True;
